e2e (us), eyelink (us), drawing (us)
5832,1661,587
9424,1643,640
8068,1423,630
8752,1389,633
6292,1312,629
8076,1489,632
8644,1676,616
9748,2034,594
8860,1490,591
8748,1485,597
5944,1462,625
6388,1589,619
6836,2162,595
5844,1648,602
7740,1482,582
6164,1331,614
5728,1414,611
8184,2122,638
9192,1514,590
7844,2229,608
9640,2340,608
9312,2234,582
9988,2160,619
9868,2440,628
8976,1910,618
6504,1899,627
5944,1662,597
7740,1591,607
8744,1751,625
8304,1812,612
6624,1664,594
9084,2365,579
8308,1750,590
7964,1715,602
9648,1545,625
9200,1718,602
9416,2373,609
8296,1532,608
7964,1399,619
6844,1602,619
6400,1686,612
8640,2325,612
6620,1707,620
7964,1414,617
6508,1381,637
7180,1483,624
8520,2215,637
6404,1509,618
5948,1514,628
8856,1473,641
8528,1506,601
9076,1485,629
9748,1342,611
10088,2174,632
8628,2208,648
7744,1756,626
9200,1498,645
9524,2378,646
7300,2204,638
7856,2143,647
7068,1756,646
7296,2231,647
8072,2156,628
7404,1829,637
6948,1836,642
8516,1703,634
9416,2103,627
8864,1688,618
9192,1587,621
7968,1655,595
10200,2323,624
8184,1616,611
9092,1683,624
6068,1752,610
9424,1544,628
6176,1546,622
5496,1334,610
8412,1572,629
6960,1551,615
8404,1453,586
6164,1482,634
6728,1450,621
9532,1624,611
5728,1487,639
9076,1883,618
8980,1365,630
7072,1494,609
5836,1359,567
8632,1391,609
10088,2170,627
9640,2189,582
8412,1288,612
9876,2192,624
8524,2284,631
7856,1855,620
6624,2142,605
9528,2239,629
9636,1870,623
8748,2250,631
6728,1453,607
8744,1915,619
5944,1626,597
9644,1603,613
8640,2109,618
8972,1695,594
9644,1721,603
6392,1713,630
8964,1756,625
9412,1487,617
8076,1321,615
8740,1606,629
9652,1687,596
8076,1459,585
5720,1435,594
6392,1342,616
9084,1418,638
6616,1621,605
8972,1486,621
8532,1368,626
5840,1494,613
8752,1618,623
7184,1491,622
5832,1615,624
7408,2170,632
9308,1311,594
9752,2176,635
10084,2129,587
9080,1210,635
9084,1827,594
9312,2227,610
9760,2235,587
9080,2090,591
9536,1834,589
7176,2145,588
8528,1690,588
7068,1782,587
9980,1962,588
9640,2148,596
7964,1713,612
9304,1621,589
8192,1272,608
8964,1704,597
7292,1516,596
9084,1454,623
5504,1176,603
9312,1459,647
7856,1484,587
8640,1486,641
8292,1321,611
5948,1303,624
8404,1198,617
9204,1434,629
8516,2327,605
6628,1459,621
6176,1745,628
5836,1577,607
6176,1610,602
7188,1850,616
9192,2387,607
6732,1436,634
9536,1454,604
6848,1194,621
9420,2225,629
8292,1508,609
9760,2126,629
10204,2213,702
8752,2158,641
7972,1915,640
7620,1833,618
9428,2046,610
8856,1702,639
7180,1627,621
10092,2091,616
8748,1859,627
6052,1697,621
6288,1672,607
6732,1329,613
8752,1691,637
9196,1702,630
6056,1610,636
7744,1685,633
7176,1150,620
5944,1640,609
9420,1640,624
9196,1625,640
7852,1707,603
9308,2317,579
5952,1719,624
8408,1535,626
8856,1227,632
7520,1673,622
7176,1476,590
5620,1300,587
8192,2238,623
6960,1409,603
8188,1475,635
8864,2084,634
8860,1425,627
9412,1430,627
8976,1394,613
5952,1575,623
9976,2181,625
9188,1872,622
9088,1998,613
7512,1635,615
6952,1590,595
9416,1966,629
8412,1584,615
8408,1845,634
9532,1629,605
8076,1450,623
9648,1687,607
9188,1619,625
6504,1464,624
6392,1728,622
7524,2160,626
6288,1616,640
8972,1633,626
7296,1720,623
5828,1521,630
8308,1444,642
6956,1596,626
8628,1537,622
6288,1666,632
8524,2070,609
7624,1490,620
6840,1496,601
7300,1439,601
6960,1214,609
8516,1653,622
9084,1431,632
8416,1446,620
9080,1397,617
6740,1457,587
6504,1828,634
9540,2048,641
8860,1852,645
8296,1923,610
8748,1658,617
7400,1627,600
8520,2110,595
8972,1725,628
6616,2084,628
7748,1574,626
8296,1305,614
5940,1677,570
9644,1701,617
7960,1661,594
7068,1461,621
8300,1634,644
6516,1664,609
9428,1525,612
5840,1552,644
8184,2273,590
5952,1532,597
8752,1489,564
9088,1538,606
8640,1613,615
9864,2120,619
5952,1575,620
7300,1469,619
5724,1488,623
6396,1396,623
9536,1844,613
5836,1439,634
9084,2397,563
8524,1278,589
7180,1366,612
8300,1799,629
10308,2345,575
7740,2090,621
6396,2142,599
8972,2164,629
8072,1545,585
9648,1591,591
8080,1540,631
9640,1667,596
8968,1450,620
6052,1725,614
8528,1749,624
8972,1738,599
7956,1891,594
8964,2183,619
6736,1624,586
6276,1723,622
5952,1712,587
9524,1711,614
8744,2304,646
8520,1772,611
5828,1493,597
6288,1496,615
6284,1696,593
6616,2234,595
6400,1420,629
5836,1209,629
8860,1500,621
6056,1228,580
6280,1902,611
6280,1446,625
5828,1438,628
8640,1547,627
8076,2174,631
7188,1702,617
9192,1935,628
9864,2198,617
6612,2175,602
9524,1857,621
7072,1619,635
7072,2132,648
8528,1893,620
8748,2232,619
7740,1527,621
9412,1790,631
5836,1509,617
7624,1668,618
8184,1701,635
9644,2348,611
8644,1690,602
9532,1717,621
5724,1491,599
8532,1495,617
6512,2154,587
8636,1696,591
6280,1668,598
6840,1439,640
6288,1457,613
5720,1338,611
7516,1358,584
6844,1486,595
7512,2320,571
5828,1413,627
9532,1632,628
9200,1321,579
9524,2226,586
6168,1466,623
8532,2117,625
9192,2302,631
5608,1387,589
6164,1470,624
8860,2165,633
8192,1939,625
8080,2111,614
8864,2221,612
9524,1865,621
5952,1674,590
8968,1288,593
8964,1484,630
7852,1593,623
8628,1650,593
6952,1636,616
9312,1354,599
7288,1380,592
6724,1665,613
6172,1668,591
6848,1700,627
9196,1415,621
